time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-01 20:54:33,40.0688907569229,-88.2096499833426,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.43970403652,0.656168,0,0,0,24,10,0,706.43970403652,0,0,0,0,0,0,264.7, -0.6, -1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,"Your aircraft is flying in an Altitude Zone (500m). Please fly with caution."
100,2023-10-01 20:54:33,40.0688907262007,-88.2096499721452,0,,,706.43970403652,0.656168,0,0.011636811396,0.011636811396,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
200,2023-10-01 20:54:33,40.0688907473289,-88.209649978277,0,,,706.43970403652,0.656168,0,0.0037752953964,0.0195332683416,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
300,2023-10-01 20:54:33,40.0688907650864,-88.2096499834346,0,,,706.43970403652,0.656168,0,0.00297858277248,0.0261702108112,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
400,2023-10-01 20:54:34,40.068890773317,-88.2096499879203,0,,,706.43970403652,0.656168,0,0.0061164372036,0.0294238526476,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,1024,1024,1095,1024,0,0,11,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
500,2023-10-01 20:54:34,40.0688907369036,-88.2096499907222,0,,,706.43970403652,0.656168,0,0.007589075046,0.042732284832,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
600,2023-10-01 20:54:34,40.0688907498087,-88.2096499960262,0,,,706.43970403652,0.656168,0,0.0043907153636,0.047667980528,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 26. Setting new Maximum Flight Altitude to 120m (394 ft)"
700,2023-10-01 20:54:34,40.0688907650907,-88.2096499985262,0,,,706.43970403652,0.656168,0,0.0051819883548,0.053287075196,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
800,2023-10-01 20:54:34,40.0688907336655,-88.2096499998995,0,,,706.43970403652,0.656168,0,0.0096629596268,0.064759188424,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
900,2023-10-01 20:54:34,40.0688907521486,-88.2096499884731,0,,,706.43970403652,0.656168,0,0.00225522645012,0.072219162416,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
1000,2023-10-01 20:54:34,40.0688907751902,-88.209649970892,0,,,706.43970403652,0.656168,0,0.0075169621828,0.081954070864,24,10,0,706.43970403652,0,0,0.011636811396,0,0,0,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
1100,2023-10-01 20:54:34,40.0688907948294,-88.2096499650459,0,,,706.43970403652,0.656168,0,0.0147435372172,0.089303152464,24,10,0,706.43970403652,0,0,0.0147435372172,0,0,0,264.8, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
1200,2023-10-01 20:54:34,40.0688907652161,-88.2096499500365,0,,,706.43970403652,0.656168,0,0.0097792325964,0.100891735512,24,10,0,706.43970403652,0,0,0.0147435372172,0,0,0,264.8, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
1300,2023-10-01 20:54:34,40.0688907855596,-88.209649955338,0,,,706.43970403652,0.656168,0,0.0130499676092,0.108460305308,24,10,0,706.43970403652,0,0,0.0147435372172,0,0,0,264.8, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0,104.54,706.43970403652,0,41,Motors_Started,
1400,2023-10-01 20:54:35,40.0688908021044,-88.2096499656591,0,,,706.43970403652,0.656168,0,0.0172080058,0.1151492819,24,10,23.536,706.43970403652,0,0,0.0172080058,0,0,0,264.7, -0.5, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.43970403652,0,41,Motors_Started,
1500,2023-10-01 20:54:35,40.068890747898,-88.2096499742606,0,,,706.43970403652,0.656168,0,0.0041559712616,0.135071526632,24,10,23.536,706.43970403652,0,0,0.0172080058,0,0,-0.223694,264.7, -0.5, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.43970403652,0,41,Motors_Started,
1600,2023-10-01 20:54:35,40.0688907617103,-88.2096499684849,0,,,706.43970403652,0.656168,0,0.004501148438,0.140362865384,24,10,23.536,706.43970403652,0,0,0.0172080058,0,0,-0.223694,264.7, -0.5, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.43970403652,0,41,Motors_Started,
1700,2023-10-01 20:54:35,40.0688907777657,-88.2096499661712,0,,,706.43970403652,0.656168,0,0.0089896984504,0.146256238276,24,10,23.536,706.43970403652,0,0,0.0172080058,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.43970403652,0,41,Motors_Started,
1800,2023-10-01 20:54:35,40.0688907977713,-88.2096499664239,0,,,706.43970403652,0.656168,0,0.0156342852772,0.153555451108,24,10,23.536,706.43970403652,0,0,0.0172080058,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.43970403652,0,41,Motors_Started,
1900,2023-10-01 20:54:35,40.0688907857095,-88.2096499657164,0,,,706.43970403652,0.656168,0,0.0115986552268,0.157960634976,24,10,23.536,706.43970403652,0,0,0.0172080058,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.43970403652,0,41,Motors_Started,
2000,2023-10-01 20:54:35,40.0688908057253,-88.2096499578733,0,,,706.43970403652,0.656168,0,0.0191730977264,0.165584650968,24,10,23.536,706.43970403652,0,0,0.0191730977264,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.43970403652,0,10,Assisted_Takeoff,
2100,2023-10-01 20:54:35,40.0688908238908,-88.2096499546289,0,,,706.43970403652,0.656168,0,0.025714895836,0.172273955644,24,10,23.536,706.43970403652,0,0,0.025714895836,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.43970403652,0,10,Assisted_Takeoff,
2200,2023-10-01 20:54:35,40.068890787224,-88.2096499492024,0.328084,,,706.76778803652,0.656168,0,0.0145974086036,0.185737210668,24,10,23.536,706.76778803652,0.328084,0,0.025714895836,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
2300,2023-10-01 20:54:35,40.0688908047749,-88.2096499507041,0.328084,,,706.76778803652,0.656168,0,0.0196940295016,0.192154533708,24,10,23.536,706.76778803652,0.328084,0,0.025714895836,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.255,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
2400,2023-10-01 20:54:36,40.0688908216758,-88.2096499553976,0.328084,,,706.76778803652,0.656168,0,0.0248801845232,0.198458667768,24,10,23.592,706.76778803652,0.328084,0,0.025714895836,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
2500,2023-10-01 20:54:36,40.0688908301129,-88.2096499543909,0.328084,,,706.76778803652,0.656168,0,0.0279000665096,0.201549547132,24,10,23.592,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
2600,2023-10-01 20:54:36,40.0688907690025,-88.2096499491168,0.328084,,,706.76778803652,0.656168,0,0.0105234911504,0.22389436412,24,10,23.592,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
2700,2023-10-01 20:54:36,40.0688907764259,-88.2096499453497,0.328084,,,706.76778803652,0.656168,0,0.012773458414,0.226799876024,24,10,23.592,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
2800,2023-10-01 20:54:36,40.0688907950301,-88.2096499415366,0.328084,,,706.76778803652,0.656168,0,0.0181536423132,0.233670611152,24,10,23.592,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
2900,2023-10-01 20:54:36,40.0688907491971,-88.2096499313711,0.328084,,,706.76778803652,0.656168,0,0.0147821198956,0.250631897784,24,10,23.592,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3000,2023-10-01 20:54:36,40.0688907642323,-88.2096499237837,0.328084,,,706.76778803652,0.656168,0,0.016841864056,0.256512147316,24,10,23.592,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3100,2023-10-01 20:54:36,40.0688907904404,-88.2096499206773,0.328084,,,706.76778803652,0.656168,0,0.0213466542264,0.266113525576,24,10,23.592,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3200,2023-10-01 20:54:36,40.0688908100181,-88.2096499240509,0.328084,,,706.76778803652,0.656168,0,0.0254818905792,0.273318250216,24,10,23.592,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.7, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3300,2023-10-01 20:54:36,40.0688907863934,-88.209649937672,0.328084,,,706.76778803652,0.656168,0,0.0166798233684,0.28273951036,24,10,23.592,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,1.651,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3400,2023-10-01 20:54:37,40.0688907997241,-88.2096499500416,0.328084,,,706.76778803652,0.656168,0,0.0181744756472,0.288704733648,24,10,23.5945,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3500,2023-10-01 20:54:37,40.0688908141644,-88.20964996176,0.328084,,,706.76778803652,0.656168,0,0.021736549252,0.2949065055,24,10,23.5945,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3600,2023-10-01 20:54:37,40.0688907827024,-88.209649988099,0.328084,,,706.76778803652,0.656168,0,0.0094989504352,0.308539051868,24,10,23.5945,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3700,2023-10-01 20:54:37,40.0688908056704,-88.2096499917438,0.328084,,,706.76778803652,0.656168,0,0.0179395346948,0.316980653188,24,10,23.5945,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3800,2023-10-01 20:54:37,40.0688908291685,-88.209649991739,0.328084,,,706.76778803652,0.656168,0,0.0264628289308,0.325553816192,24,10,23.5945,706.76778803652,0.328084,0,0.0279000665096,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
3900,2023-10-01 20:54:37,40.0688908500036,-88.2096499923001,0.328084,,,706.76778803652,0.656168,0,0.034052494528,0.33315617864,24,10,23.5945,706.76778803652,0.328084,0,0.034052494528,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
4000,2023-10-01 20:54:37,40.0688908094305,-88.2096499831214,0.328084,,,706.76778803652,0.656168,0,0.0191575137364,0.348179145,24,10,23.5945,706.76778803652,0.328084,0,0.034052494528,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
4100,2023-10-01 20:54:37,40.0688908199495,-88.2096499852306,0.328084,,,706.76778803652,0.656168,0,0.0230012802636,0.35206365956,24,10,23.5945,706.76778803652,0.328084,0,0.034052494528,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
4200,2023-10-01 20:54:37,40.0688908273902,-88.2096499894968,0.328084,,,706.76778803652,0.656168,0,0.0257673564676,0.35502625808,24,10,23.5945,706.76778803652,0.328084,0,0.034052494528,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
4300,2023-10-01 20:54:38,40.0688907649176,-88.2096499826401,0.328084,,,706.76778803652,0.656168,0,0.002923474503,0.37790027456,24,10,23.5945,706.76778803652,0.328084,0,0.034052494528,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.931,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
4400,2023-10-01 20:54:38,40.0688907725401,-88.2096499788855,0.328084,,,706.76778803652,0.656168,0,0.0058322508428,0.3808727156,24,10,23.5955,706.76778803652,0.328084,0,0.034052494528,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.87,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
4500,2023-10-01 20:54:38,40.0688907778923,-88.2096499748693,0.328084,,,706.76778803652,0.656168,0,0.0080081367392,0.38312337184,24,10,23.5955,706.76778803652,0.328084,0,0.034052494528,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.87,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
4600,2023-10-01 20:54:38,40.0688907949506,-88.2096499738356,0.328084,,,706.76778803652,0.656168,0,0.0141260503208,0.389353687,24,10,23.5955,706.76778803652,0.328084,0,0.034052494528,0,0,-0.223694,264.6, -0.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,79,,,,,,,0.87,104.54,706.76778803652,0.328084,10,Assisted_Takeoff,
