time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-01 21:31:47,40.0688807391896,-88.2096636206396,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.42929130652,0.656168,0,0,0,28,10,0,706.42929130652,0,0,0,0,0,0,4.1, -0.3, -1.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,"Your aircraft is flying in an Altitude Zone (500m). Please fly with caution."
100,2023-10-01 21:31:47,40.0688807370578,-88.2096636064143,0,,,706.42929130652,0.656168,0,0.0040472770324,0.0040472770324,28,10,0,706.42929130652,0,0,0.0040472770324,0,0,0,4.1, -0.3, -1.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,
200,2023-10-01 21:31:47,40.0688807335347,-88.2096636591167,0,,,706.42929130652,0.656168,0,0.010939468854,0.0188182748804,28,10,0,706.42929130652,0,0,0.010939468854,0,0,0,4.1, -0.3, -1.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,
300,2023-10-01 21:31:47,40.0688807373772,-88.2096636411402,0,,,706.42929130652,0.656168,0,0.0057620080584,0.0240295939448,28,10,0,706.42929130652,0,0,0.010939468854,0,0,0,4.1, -0.3, -1.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,
400,2023-10-01 21:31:48,40.0688807380009,-88.2096636191986,0,,,706.42929130652,0.656168,0,0.00059159778796,0.030160105952,28,10,0,706.42929130652,0,0,0.010939468854,0,0,0,4.1, -0.3, -1.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,
500,2023-10-01 21:31:48,40.0688807366876,-88.2096636813889,0,,,706.42929130652,0.656168,0,0.0169862538244,0.047530841416,28,10,0,706.42929130652,0,0,0.0169862538244,0,0,0,4.1, -0.3, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,
600,2023-10-01 21:31:48,40.0688807347272,-88.209663658374,0,,,706.42929130652,0.656168,0,0.0106608271128,0.053996392804,28,10,0,706.42929130652,0,0,0.0169862538244,0,0,0,4.1, -0.3, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 27. Setting new Maximum Flight Altitude to 120m (394 ft)"
700,2023-10-01 21:31:48,40.0688807326968,-88.20966363387,0,,,706.42929130652,0.656168,0,0.0043883531588,0.060878282788,28,10,0,706.42929130652,0,0,0.0169862538244,0,0,0,4.1, -0.4, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,
800,2023-10-01 21:31:48,40.0688807292641,-88.2096635988796,0,,,706.42929130652,0.656168,0,0.0070729661056,0.070727692552,28,10,0,706.42929130652,0,0,0.0169862538244,0,0,0,4.1, -0.3, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,
900,2023-10-01 21:31:48,40.0688807280152,-88.2096636506756,0,,,706.42929130652,0.656168,0,0.009324803448,0.08519685312,28,10,0,706.42929130652,0,0,0.0169862538244,0,0,0,4, -0.4, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,,,,,,,0,106.34,706.42929130652,0,41,Motors_Started,
