time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-01 20:12:25,40.0688916552825,-88.2094941590752,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.75534282614,0.656168,0,0,0,26,10,0,706.75534282614,0,0,0,0,0,0,14.1, -0.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,"GEO: You are in a Warning Zone (Airport). Fly with caution."
100,2023-10-01 20:12:25,40.0688916614766,-88.2094941453048,0,,,706.75534282614,0.656168,0,0.004459809854,0.004459809854,26,10,0,706.75534282614,0,0,0.004459809854,0,0,0,14.1, -0.3, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
200,2023-10-01 20:12:25,40.0688916404012,-88.209494189148,0,,,706.75534282614,0.656168,0,0.0099990816848,0.0189159126788,26,10,0,706.75534282614,0,0,0.0099990816848,0,0,0,14.1, -0.3, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
300,2023-10-01 20:12:25,40.0688916437066,-88.2094941754982,0,,,706.75534282614,0.656168,0,0.006234088126,0.0229132881348,26,10,0,706.75534282614,0,0,0.0099990816848,0,0,0,14.1, -0.3, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
400,2023-10-01 20:12:25,40.0688916449319,-88.2094941709211,0,,,706.75534282614,0.656168,0,0.0050200460924,0.0242671923776,26,10,0,706.75534282614,0,0,0.0099990816848,0,0,0,14.1, -0.3, -0.5,0,0,788,790,562,1428,-36,-35,-70,61,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
500,2023-10-01 20:12:25,40.0688916466021,-88.2094941637183,0,,,706.75534282614,0.656168,0,0.003422080162,0.026368603206,26,10,0,706.75534282614,0,0,0.0099990816848,0,0,0,14.1, -0.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 23. Setting new Maximum Flight Altitude to 120m (394 ft)"
600,2023-10-01 20:12:25,40.0688916249605,-88.2094942179301,0,,,706.75534282614,0.656168,0,0.0198097447284,0.043440618188,26,10,0,706.75534282614,0,0,0.0198097447284,0,0,0,14.1, -0.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
700,2023-10-01 20:12:25,40.0688916282224,-88.2094942061951,0,,,706.75534282614,0.656168,0,0.0164487538072,0.046926510688,26,10,0,706.75534282614,0,0,0.0198097447284,0,0,0,14.1, -0.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
800,2023-10-01 20:12:25,40.0688916323775,-88.2094941923331,0,,,706.75534282614,0.656168,0,0.01249261851,0.051083334968,26,10,0,706.75534282614,0,0,0.0198097447284,0,0,0,14.1, -0.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
900,2023-10-01 20:12:25,40.0688916299613,-88.2094942039752,0,,,706.75534282614,0.656168,0,0.0155727695272,0.054451445312,26,10,0,706.75534282614,0,0,0.0198097447284,0,0,0,14.1, -0.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
1000,2023-10-01 20:12:26,40.0688916323422,-88.2094941862414,0,,,706.75534282614,0.656168,0,0.0112953743772,0.05947834836,26,10,0,706.75534282614,0,0,0.0198097447284,0,0,0,14.1, -0.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
1100,2023-10-01 20:12:26,40.0688916345768,-88.2094941663733,0,,,706.75534282614,0.656168,0,0.0078244425076,0.06508530392,26,10,0,706.75534282614,0,0,0.0198097447284,0,0,0,14.1, -0.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
1200,2023-10-01 20:12:26,40.0688916393596,-88.2094941545785,0,,,706.75534282614,0.656168,0,0.005943569744,0.06881233816,26,10,0,706.75534282614,0,0,0.0198097447284,0,0,0,14, -0.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,92.12,706.75534282614,0,41,Motors_Started,
