time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-01 22:01:21,40.0688809143012,-88.2097512659215,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.25202292815,0.656168,0,0,0,27,10,0,706.25202292815,0,0,0,0,0,0,270, -1.9, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,6,P-GPS,"Your aircraft is flying in an Altitude Zone (500m). Please fly with caution."
100,2023-10-01 22:01:21,40.068880921043,-88.2097512514463,0,,,706.25202292815,0.656168,0,0.0047312665556,0.0047312665556,27,10,0,706.25202292815,0,0,0.0047312665556,0,0,0,270, -1.9, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 29. Setting new Maximum Flight Altitude to 120m (394 ft)"
200,2023-10-01 22:01:21,40.0688808876963,-88.2097512936258,0,,,706.25202292815,0.656168,0,0.0124119426544,0.021664042688,27,10,0,706.25202292815,0,0,0.0124119426544,0,0,0,270, -1.9, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
300,2023-10-01 22:01:21,40.0688808984961,-88.209751283021,0,,,706.25202292815,0.656168,0,0.0074864175624,0.02659284862,27,10,0,706.25202292815,0,0,0.0124119426544,0,0,0,270, -1.9, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
400,2023-10-01 22:01:22,40.0688809112427,-88.2097512702747,0,,,706.25202292815,0.656168,0,0.00164999677196,0.0324489511696,27,10,0,706.25202292815,0,0,0.0124119426544,0,0,0,270, -1.9, -0.4,0,0,427,413,429,1684,-90,-93,-90,100,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
500,2023-10-01 22:01:22,40.0688808951512,-88.2097513052488,0,,,706.25202292815,0.656168,0,0.0130148954296,0.043843177256,27,10,0,706.25202292815,0,0,0.0130148954296,0,0,0,270, -1.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
600,2023-10-01 22:01:22,40.0688809051484,-88.2097512840496,0,,,706.25202292815,0.656168,0,0.0060638781468,0.0507956053,27,10,0,706.25202292815,0,0,0.0130148954296,0,0,0,270, -1.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
700,2023-10-01 22:01:22,40.0688809102287,-88.2097512678802,0,,,706.25202292815,0.656168,0,0.00158327760972,0.0556758548,27,10,0,706.25202292815,0,0,0.0130148954296,0,0,0,270, -1.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
800,2023-10-01 22:01:22,40.0688809159569,-88.2097512487433,0,,,706.25202292815,0.656168,0,0.0048341865064,0.061413387792,27,10,0,706.25202292815,0,0,0.0130148954296,0,0,0,270, -1.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
900,2023-10-01 22:01:22,40.068880889524,-88.209751276696,0,,,706.25202292815,0.656168,0,0.0095273625096,0.073819884252,27,10,0,706.25202292815,0,0,0.0130148954296,0,0,0,270, -1.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
1000,2023-10-01 22:01:22,40.0688808983723,-88.2097512558439,0,,,706.25202292815,0.656168,0,0.0064569555872,0.080477036696,27,10,0,706.25202292815,0,0,0.0130148954296,0,0,0,269.9, -1.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
1100,2023-10-01 22:01:22,40.0688809100442,-88.2097512382412,0,,,706.25202292815,0.656168,0,0.0078831039268,0.08697998966,27,10,0,706.25202292815,0,0,0.0130148954296,0,0,0,270, -1.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
1200,2023-10-01 22:01:22,40.0688809121394,-88.2097512488197,0,,,706.25202292815,0.656168,0,0.0048396983176,0.090030842776,27,10,0,706.25202292815,0,0,0.0130148954296,0,0,0,270.1, -1.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
1300,2023-10-01 22:01:22,40.0688809208729,-88.2097512344635,0,,,706.25202292815,0.656168,0,0.0091047247008,0.095151577848,27,10,0,706.25202292815,0,0,0.0130148954296,0,0,-0.223694,270.1, -1.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,102.2,706.25202292815,0,41,Motors_Started,
