time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-09-22 21:45:13,40.0825179789912,-88.2014421087203,0,Available with any HD 360 subscription,Available with any HD 360 subscription,726.24644417164,0.656168,0,0,0,25,10,0,726.24644417164,0,0,0,0,0,0,92.1, -1.9, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,"GEO: You are in a Warning Zone (Airport). Fly with caution."
100,2023-09-22 21:45:13,40.0825179817026,-88.2014421328837,0,,,726.24644417164,0.656168,0,0.0068174542864,0.0068174542864,25,10,0,726.24644417164,0,0,0.0068174542864,0,0,0,92.1, -1.9, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,
200,2023-09-22 21:45:13,40.0825179729723,-88.2014421242832,0,,,726.24644417164,0.656168,0,0.0048679135416,0.0108061355164,25,10,0,726.24644417164,0,0,0.0068174542864,0,0,0,92.1, -1.9, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,
300,2023-09-22 21:45:13,40.0825179553456,-88.2014421067609,0,,,726.24644417164,0.656168,0,0.0086443900404,0.0188860242264,25,10,0,726.24644417164,0,0,0.0086443900404,0,0,0,92.1, -1.9, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,
400,2023-09-22 21:45:13,40.0825179831146,-88.2014421778987,0,,,726.24644417164,0.656168,0,0.0193698825096,0.04117946326,25,10,0,726.24644417164,0,0,0.0193698825096,0,0,0,92.1, -1.9, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,
500,2023-09-22 21:45:13,40.0825179824456,-88.2014421836415,0,,,726.24644417164,0.656168,0,0.020952428492,0.042801182472,24,10,0,726.24644417164,0,0,0.020952428492,0,0,0,92.1, -1.9, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 21. Setting new Maximum Flight Altitude to 120m (394 ft)"
600,2023-09-22 21:45:13,40.0825179786573,-88.2014421660555,0,,,726.24644417164,0.656168,0,0.016005741982,0.047901248252,24,10,0,726.24644417164,0,0,0.020952428492,0,0,0,92.1, -1.9, -0.8,0,0,540,384,720,1286,-73,-97,-46,40,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,
700,2023-09-22 21:45:13,40.0825179722866,-88.2014421484774,0,,,726.24644417164,0.656168,0,0.0113646985264,0.053330710368,24,10,0,726.24644417164,0,0,0.020952428492,0,0,0,92.1, -2, -0.8,0,0,540,384,720,1286,-73,-97,-46,40,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,
800,2023-09-22 21:45:13,40.0825180111705,-88.2014421653137,0,,,726.24644417164,0.656168,0,0.0196831371128,0.06827592082,24,10,0,726.24644417164,0,0,0.020952428492,0,0,0,92.1, -1.9, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,
900,2023-09-22 21:45:13,40.0825180023204,-88.2014421490306,0,,,726.24644417164,0.656168,0,0.0141093180368,0.073851380316,24,10,0,726.24644417164,0,0,0.020952428492,0,0,0,92.1, -2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,20,,,,,,,0,93.38,726.24644417164,0,41,Motors_Started,
