time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-12 22:22:10,40.0689019143109,-88.2096876900465,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.4096170933,0.656168,0,0,0,26,10,0,706.4096170933,0,0,0,0,0,0,10, -0.4, -1.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,6,P-GPS,"GEO: You are in a Warning Zone (Airport). Fly with caution."
100,2023-10-12 22:22:10,40.0689019063544,-88.2096876794983,0,,,706.4096170933,0.656168,0,0.004135334778,0.004135334778,26,10,0,706.4096170933,0,0,0.004135334778,0,0,0,10, -0.4, -1.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
200,2023-10-12 22:22:10,40.0689018964174,-88.2096876682981,0,,,706.4096170933,0.656168,0,0.0089159451672,0.0089231958236,26,10,0,706.4096170933,0,0,0.0089159451672,0,0,0,10, -0.4, -1.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
300,2023-10-12 22:22:10,40.0689018824661,-88.2096876572781,0,,,706.4096170933,0.656168,0,0.0147885175336,0.0148710306596,26,10,0,706.4096170933,0,0,0.0147885175336,0,0,0,10, -0.4, -1.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 48. Setting new Maximum Flight Altitude to 120m (394 ft)"
400,2023-10-12 22:22:10,40.06890190029,-88.2096876677483,0,,,706.4096170933,0.656168,0,0.008057907082,0.0220009521476,26,10,0,706.4096170933,0,0,0.0147885175336,0,0,0,10, -0.4, -1.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
500,2023-10-12 22:22:10,40.0689018941983,-88.2096876513487,0,,,706.4096170933,0.656168,0,0.01306102404,0.0270907817068,26,10,0,706.4096170933,0,0,0.0147885175336,0,0,0,10, -0.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
600,2023-10-12 22:22:11,40.0689018843106,-88.2096876373286,0,,,706.4096170933,0.656168,0,0.0183429467812,0.0324141086488,26,10,0,706.4096170933,0,0,0.0183429467812,0,0,0,10, -0.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
700,2023-10-12 22:22:11,40.0689019250769,-88.2096876911649,0,,,706.4096170933,0.656168,0,0.0039403544568,0.053560369168,26,10,0,706.4096170933,0,0,0.0183429467812,0,0,0,10, -0.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
800,2023-10-12 22:22:11,40.0689019061112,-88.2096876933056,0,,,706.4096170933,0.656168,0,0.0031270178166,0.060505907448,26,10,0,706.4096170933,0,0,0.0183429467812,0,0,0,10, -0.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
900,2023-10-12 22:22:11,40.0689018926712,-88.2096876823805,0,,,706.4096170933,0.656168,0,0.0081802496056,0.066280842016,26,10,0,706.4096170933,0,0,0.0183429467812,0,0,0,10.1, -0.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
1000,2023-10-12 22:22:11,40.0689018744071,-88.2096876725799,0,,,706.4096170933,0.656168,0,0.0153539703076,0.073484582404,26,10,0,706.4096170933,0,0,0.0183429467812,0,0,0,10.2, -0.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
1100,2023-10-12 22:22:11,40.0689019217862,-88.2096877032525,0,,,706.4096170933,0.656168,0,0.004586286236,0.092775921604,26,10,0,706.4096170933,0,0,0.0183429467812,0,0,0,10.2, -0.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
1200,2023-10-12 22:22:11,40.0689019010966,-88.2096876944906,0,,,706.4096170933,0.656168,0,0.004978346616,0.100710961228,26,10,0,706.4096170933,0,0,0.0183429467812,0,0,0,10, -0.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
1300,2023-10-12 22:22:11,40.068901873566,-88.2096876783723,0,,,706.4096170933,0.656168,0,0.0152189309332,0.11171752326,26,10,0,706.4096170933,0,0,0.0183429467812,0,0,0,9.9, -0.5, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
1400,2023-10-12 22:22:11,40.0689018920262,-88.209687699218,0,,,706.4096170933,0.656168,0,0.0085243112964,0.120619098348,26,10,0,706.4096170933,0,0,0.0183429467812,0,0,0,9.9, -0.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,0,95.9,706.4096170933,0,41,Motors_Started,
1500,2023-10-12 22:22:12,40.0689018766958,-88.2096876884875,0,,,706.4096170933,0.656168,0,0.0137307747176,0.126964242908,26,10,24.231,706.4096170933,0,0,0.0183429467812,0,0,0,9.9, -0.5, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,3.696,95.9,706.4096170933,0,41,Motors_Started,
1600,2023-10-12 22:22:12,40.0689018563129,-88.2096876772906,0,,,706.4096170933,0.656168,0,0.021458169978,0.135031500384,26,10,24.231,706.4096170933,0,0,0.021458169978,0,0,0,9.9, -0.5, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,92,,,,,,,3.696,95.9,706.4096170933,0,41,Motors_Started,
