time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-12 21:40:09,40.0688974212686,-88.2096621064247,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.43314596544,0.656168,0,0,0,25,10,0,706.43314596544,0,0,0,0,0,0,356.5, 0.8, 0,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,"Your aircraft is flying in an Altitude Zone (500m). Please fly with caution."
100,2023-10-12 21:40:10,40.0688974129306,-88.2096620893874,0,,,706.43314596544,0.656168,0,0.0056465224904,0.0056465224904,25,10,0,706.43314596544,0,0,0.0056465224904,0,0,0,356.5, 0.8, 0,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,
200,2023-10-12 21:40:10,40.068897406099,-88.2096620772673,0,,,706.43314596544,0.656168,0,0.00984416042,0.009849409764,25,10,0,706.43314596544,0,0,0.00984416042,0,0,0,356.5, 0.8, 0,0,0,1024,1024,527,1248,0,0,-75,34,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,
300,2023-10-12 21:40:10,40.0688974150382,-88.2096621013547,0,,,706.43314596544,0.656168,0,0.002677903629,0.0173238850688,25,10,0,706.43314596544,0,0,0.00984416042,0,0,0,356.5, 0.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,
400,2023-10-12 21:40:10,40.0688974134716,-88.2096620823714,0,,,706.43314596544,0.656168,0,0.0072935369788,0.0226548891764,25,10,0,706.43314596544,0,0,0.00984416042,0,0,0,356.5, 0.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,
500,2023-10-12 21:40:10,40.0688974089796,-88.2096620559499,0,,,706.43314596544,0.656168,0,0.014789042468,0.0302118776072,25,10,0,706.43314596544,0,0,0.014789042468,0,0,0,356.5, 0.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,
600,2023-10-12 21:40:10,40.0688974044791,-88.2096620344993,0,,,706.43314596544,0.656168,0,0.0209956699632,0.036421917176,25,10,0,706.43314596544,0,0,0.0209956699632,0,0,0,356.5, 0.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,
700,2023-10-12 21:40:10,40.0688974389021,-88.2096620715259,0,,,706.43314596544,0.656168,0,0.0116763783264,0.052688978064,25,10,0,706.43314596544,0,0,0.0209956699632,0,0,0,356.5, 0.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,
800,2023-10-12 21:40:10,40.0688974390741,-88.2096620559641,0,,,706.43314596544,0.656168,0,0.015514600234,0.057034450644,25,10,0,706.43314596544,0,0,0.0209956699632,0,0,0,356.5, 0.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,
900,2023-10-12 21:40:10,40.0688974327385,-88.2096620327964,0,,,706.43314596544,0.656168,0,0.0209792657632,0.063903545352,25,10,0,706.43314596544,0,0,0.0209956699632,0,0,0,356.5, 0.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,58,,,,,,,0,110.48,706.43314596544,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 46. Setting new Maximum Flight Altitude to 120m (394 ft)"
