time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-10 22:36:34,40.0688689237232,-88.2096667716732,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.40956722453,0.656168,0,0,0,25,10,0,706.40956722453,0,0,0,0,0,0,181.7, 0, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,"Your aircraft is flying in an Altitude Zone (500m). Please fly with caution."
100,2023-10-10 22:36:34,40.068868947007,-88.2096667762784,0,,,706.40956722453,0.656168,0,0.0085918309836,0.0085918309836,25,10,0,706.40956722453,0,0,0.0085918309836,0,0,0,181.7, 0, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 41. Setting new Maximum Flight Altitude to 120m (394 ft)"
200,2023-10-10 22:36:34,40.0688689749936,-88.2096667844904,0,,,706.40956722453,0.656168,0,0.0190452433916,0.0190570216072,25,10,0,706.40956722453,0,0,0.0190452433916,0,0,0,181.7, 0, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
300,2023-10-10 22:36:34,40.0688689808823,-88.2096667525062,0,,,706.40956722453,0.656168,0,0.0215301516076,0.0282420940796,25,10,0,706.40956722453,0,0,0.0215301516076,0,0,0,181.7, 0, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
400,2023-10-10 22:36:34,40.0688690023025,-88.2096667597883,0,,,706.40956722453,0.656168,0,0.0288610245456,0.036317586464,25,10,0,706.40956722453,0,0,0.0288610245456,0,0,0,181.7, 0, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
500,2023-10-10 22:36:34,40.0688690159921,-88.2096667575499,0,,,706.40956722453,0.656168,0,0.03389435804,0.041351051192,25,10,0,706.40956722453,0,0,0.03389435804,0,0,0,181.7, 0, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
600,2023-10-10 22:36:34,40.0688690337194,-88.2096667581222,0,,,706.40956722453,0.656168,0,0.04031004066,0.047820867672,25,10,0,706.40956722453,0,0,0.04031004066,0,0,0,181.7, 0, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
700,2023-10-10 22:36:35,40.0688690036513,-88.2096667244416,0,,,706.40956722453,0.656168,0,0.032004922284,0.062270015116,25,10,0,706.40956722453,0,0,0.04031004066,0,0,0,181.8, 0, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
800,2023-10-10 22:36:35,40.0688690150155,-88.2096667334239,0,,,706.40956722453,0.656168,0,0.034978019492,0.067115815796,25,10,0,706.40956722453,0,0,0.04031004066,0,0,0,181.7, 0, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
900,2023-10-10 22:36:35,40.0688690134232,-88.2096667382885,0,,,706.40956722453,0.656168,0,0.034028544396,0.068593178048,25,10,0,706.40956722453,0,0,0.04031004066,0,0,0,181.7, -0.1, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
1000,2023-10-10 22:36:35,40.068868986827,-88.2096667312438,0,,,706.40956722453,0.656168,0,0.0256417659124,0.078494097,25,10,0,706.40956722453,0,0,0.04031004066,0,0,0,181.5, -0.1, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
1100,2023-10-10 22:36:35,40.0688690099388,-88.2096667436869,0,,,706.40956722453,0.656168,0,0.032411746444,0.087613847948,25,10,0,706.40956722453,0,0,0.04031004066,0,0,0,181.5, 0, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
1200,2023-10-10 22:36:35,40.0688690383667,-88.2096667561231,0,,,706.40956722453,0.656168,0,0.042052494784,0.09855151234,25,10,0,706.40956722453,0,0,0.042052494784,0,0,-0.223694,181.6, 0, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
1300,2023-10-10 22:36:35,40.068869045333,-88.2096667656142,0,,,706.40956722453,0.656168,0,0.044401576224,0.102223428468,25,10,0,706.40956722453,0,0,0.044401576224,0,0,-0.223694,181.7, 0, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
1400,2023-10-10 22:36:35,40.0688690219949,-88.2096667511731,0,,,706.40956722453,0.656168,0,0.036308400112,0.111644688612,25,10,0,706.40956722453,0,0,0.044401576224,0,0,-0.223694,181.7, 0, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
1500,2023-10-10 22:36:35,40.0688690316983,-88.209666764167,0,,,706.40956722453,0.656168,0,0.03945046058,0.116713914496,25,10,0,706.40956722453,0,0,0.044401576224,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
1600,2023-10-10 22:36:36,40.0688690460223,-88.2096667807677,0,,,706.40956722453,0.656168,0,0.044692914816,0.123699479024,25,10,0,706.40956722453,0,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
1700,2023-10-10 22:36:36,40.0688690031759,-88.2096667580371,0,,,706.40956722453,0.656168,0,0.0292372384684,0.140571198724,25,10,0,706.40956722453,0,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,0,85.1,706.40956722453,0,41,Motors_Started,
1800,2023-10-10 22:36:36,40.0688690095005,-88.2096667708446,0,,,706.40956722453,0.656168,0,0.0312966545448,0.144826776288,25,10,21.592,706.40956722453,0,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,1.751,85.1,706.40956722453,0,41,Motors_Started,
1900,2023-10-10 22:36:36,40.0688690210801,-88.2096667821304,0,,,706.40956722453,0.656168,0,0.035640421088,0.150097445748,25,10,21.592,706.40956722453,0,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,1.751,85.1,706.40956722453,0,41,Motors_Started,
2000,2023-10-10 22:36:36,40.0688690330022,-88.2096667920023,0.328084,,,706.73765122453,0.656168,0,0.040272311,0.155247052212,25,10,21.592,706.73765122453,0.328084,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,1.751,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
2100,2023-10-10 22:36:36,40.0688689923148,-88.2096667695992,0.328084,,,706.73765122453,0.656168,0,0.025032317074,0.171355648528,25,10,21.592,706.73765122453,0.328084,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,1.751,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
2200,2023-10-10 22:36:36,40.0688690031103,-88.209666797697,0.328084,,,706.73765122453,0.656168,0,0.0298618119792,0.180134192116,25,10,21.592,706.73765122453,0.328084,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,1.751,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
2300,2023-10-10 22:36:36,40.0688690067991,-88.2096668233004,0.328084,,,706.73765122453,0.656168,0,0.033563321284,0.187408470564,25,10,21.592,706.73765122453,0.328084,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,1.751,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
2400,2023-10-10 22:36:36,40.0688689858603,-88.2096668370179,0.328084,,,706.73765122453,0.656168,0,0.029100394632,0.195954402596,25,10,21.592,706.73765122453,0.328084,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,50,,,,,,,1.751,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
2500,2023-10-10 22:36:36,40.0688690004601,-88.2096668538865,0.328084,,,706.73765122453,0.656168,0,0.036204725568,0.203064639044,25,10,21.592,706.73765122453,0.328084,0,0.044692914816,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1111,1024,0,0,13,0,0,0,0,50,,,,,,,1.751,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
2600,2023-10-10 22:36:37,40.0688690203188,-88.2096668766278,0.328084,,,706.73765122453,0.656168,0,0.045834319052,0.21269849762,25,10,21.592,706.73765122453,0.328084,0,0.045834319052,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1111,1024,0,0,13,0,0,0,0,50,,,,,,,1.751,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
2700,2023-10-10 22:36:37,40.0688690327151,-88.2096668934437,0.328084,,,706.73765122453,0.656168,0,0.052318899312,0.219217854784,25,10,21.592,706.73765122453,0.328084,0,0.052318899312,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1684,1165,0,0,100,21,0,0,0,50,,,,,,,1.751,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
2800,2023-10-10 22:36:37,40.0688690154057,-88.209666866452,0.328084,,,706.73765122453,0.656168,0,0.042652232336,0.22905020418,25,10,21.57,706.73765122453,0.328084,0,0.052318899312,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,50,,,,,,,0.927,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
2900,2023-10-10 22:36:37,40.0688690266584,-88.2096668739318,0.328084,,,706.73765122453,0.656168,0,0.047176510696,0.23365650354,25,10,21.57,706.73765122453,0.328084,0,0.052318899312,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,50,,,,,,,0.927,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
3000,2023-10-10 22:36:37,40.0688690412854,-88.2096668853538,0.328084,,,706.73765122453,0.656168,0,0.05335958176,0.239873367256,25,10,21.57,706.73765122453,0.328084,0,0.05335958176,0,0,-0.223694,181.7, 0, 0.3,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,50,,,,,,,0.927,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
3100,2023-10-10 22:36:37,40.0688690305654,-88.2096668174938,0.328084,,,706.73765122453,0.656168,0,0.0410269042,0.259220152652,25,10,21.57,706.73765122453,0.328084,0,0.05335958176,0,0,-0.223694,181.7, 0.1, 0.2,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,50,,,,,,,0.927,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
3200,2023-10-10 22:36:37,40.0688690696971,-88.2096668253065,0.328084,,,706.73765122453,0.656168,0,0.055323820668,0.273662738416,25,10,21.57,706.73765122453,0.328084,0,0.055323820668,0,0,-0.223694,181.8, 0.9, 0.2,0,0,1024,1024,1684,1055,0,0,100,5,0,0,0,50,,,,,,,0.927,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
3300,2023-10-10 22:36:37,40.0688691198284,-88.2096668310698,0.328084,,,706.73765122453,0.984252,0,0.073445868492,0.292023959476,25,10,21.57,706.73765122453,0.328084,0,0.073445868492,0,0,-0.671082,181.8, 3.1, 0.1,0,0,1024,1024,1684,1052,0,0,100,4,0,0,0,50,,,,,,,0.927,85.1,706.73765122453,0.328084,10,Assisted_Takeoff,
