time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-10 22:11:51,40.068885225173,-88.209645280081,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.43970403652,0.328084,0,0,0,22,10,0,706.43970403652,0,0,0,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,"Your aircraft is flying in an Altitude Zone (500m). Please fly with caution."
100,2023-10-10 22:11:51,40.0688852283304,-88.2096452932011,0,,,706.43970403652,0.328084,0,0.0038401247948,0.0038401247948,22,10,0,706.43970403652,0,0,0.0038401247948,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 36. Setting new Maximum Flight Altitude to 120m (394 ft)"
200,2023-10-10 22:11:51,40.0688852130998,-88.2096452663643,0,,,706.43970403652,0.328084,0,0.0058370080608,0.0131688652508,22,10,0,706.43970403652,0,0,0.0058370080608,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,
300,2023-10-10 22:11:51,40.0688852146442,-88.2096452903158,0,,,706.43970403652,0.328084,0,0.0047877626204,0.0198800203212,22,10,0,706.43970403652,0,0,0.0058370080608,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,
400,2023-10-10 22:11:51,40.068885218472,-88.2096453225567,0,,,706.43970403652,0.328084,0,0.0121089898888,0.028989666282,22,10,0,706.43970403652,0,0,0.0121089898888,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,
500,2023-10-10 22:11:52,40.0688852128064,-88.2096453527512,0,,,706.43970403652,0.328084,0,0.02078576182,0.037669948712,22,10,0,706.43970403652,0,0,0.02078576182,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,"Infrared sensors blocked"
600,2023-10-10 22:11:52,40.068885166483,-88.2096453313244,0,,,706.43970403652,0.328084,0,0.0257531504304,0.055598426976,22,10,0,706.43970403652,0,0,0.0257531504304,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,
700,2023-10-10 22:11:52,40.068885167904,-88.2096453555869,0,,,706.43970403652,0.328084,0,0.0296821531808,0.062392718532,22,10,0,706.43970403652,0,0,0.0296821531808,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,
800,2023-10-10 22:11:52,40.0688851697772,-88.2096453877459,0,,,706.43970403652,0.328084,0,0.03622375444,0.07139764008,22,10,0,706.43970403652,0,0,0.03622375444,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,
900,2023-10-10 22:11:52,40.0688851272631,-88.2096453227435,0,,,706.43970403652,0.328084,0,0.037656169184,0.09527231276,22,10,0,706.43970403652,0,0,0.037656169184,0,0,0,180.9, -0.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,,,,,,,0,86.9,706.43970403652,0,41,Motors_Started,
