time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-10 21:54:03,40.0688903561437,-88.2098406267435,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.12661872466,0.656168,0,0,0,19,10,0,706.12661872466,0,0,0,0,0,0,17.4, -1, -2.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,"GEO: You are in a Warning Zone (Airport). Fly with caution."
100,2023-10-10 21:54:03,40.0688903632181,-88.2098406268001,0,,,706.12661872466,0.656168,0,0.0025811352532,0.0025811352532,19,10,0,706.12661872466,0,0,0.0025811352532,0,0,0,17.4, -1, -2.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 35. Setting new Maximum Flight Altitude to 120m (394 ft)"
200,2023-10-10 21:54:03,40.0688903508841,-88.2098405831468,0,,,706.12661872466,0.656168,0,0.0123229334652,0.0155737209708,19,10,0,706.12661872466,0,0,0.0123229334652,0,0,0,17.4, -1, -2.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,
300,2023-10-10 21:54:03,40.0688903553602,-88.2098405858623,0,,,706.12661872466,0.656168,0,0.011417979368,0.0173742459628,19,10,0,706.12661872466,0,0,0.0123229334652,0,0,0,17.4, -1, -2.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,
400,2023-10-10 21:54:03,40.0688903510934,-88.2098405874133,0,,,706.12661872466,0.656168,0,0.011134842876,0.0189900924712,19,10,0,706.12661872466,0,0,0.0123229334652,0,0,0,17.4, -1, -2.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,
500,2023-10-10 21:54:03,40.0688903475308,-88.2098405914954,0,,,706.12661872466,0.656168,0,0.0103311026928,0.020718832684,19,10,0,706.12661872466,0,0,0.0123229334652,0,0,0,17.4, -1, -2.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,
600,2023-10-10 21:54:03,40.0688903214213,-88.2098405642392,0,,,706.12661872466,0.656168,0,0.0215650925536,0.032911418376,19,10,0,706.12661872466,0,0,0.0215650925536,0,0,0,17.4, -1, -2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,
700,2023-10-10 21:54:03,40.0688903198565,-88.2098405775961,0,,,706.12661872466,0.656168,0,0.019067913996,0.036684384376,19,10,0,706.12661872466,0,0,0.0215650925536,0,0,0,17.4, -0.9, -2.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,
800,2023-10-10 21:54:04,40.0688903344498,-88.2098405718877,0,,,706.12661872466,0.656168,0,0.017240486116,0.042242127336,19,10,0,706.12661872466,0,0,0.0215650925536,0,0,0,17.5, -1.1, -2,0,0,1017,1024,1024,1024,-1,0,0,0,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,
900,2023-10-10 21:54:04,40.0688903188932,-88.2098405531159,0,,,706.12661872466,0.656168,0,0.024643865618,0.049967849368,19,10,0,706.12661872466,0,0,0.024643865618,0,0,0,17.5, -0.9, -2.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,82,,,,,,,0,87.62,706.12661872466,0,41,Motors_Started,
